ID,X,MolWt_X,LogP_X,NumHDonors_X,NumHAcceptors_X,TPSA_X
DB04571,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1,228.247,3.46446,0,3,43.35
DB00855,NCC(=O)CCC(O)=O,131.131,-0.621,2,3,80.39
DB09536,O=[Ti]=O,79.865,-0.2401,0,2,34.14
DB01600,CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1,260.314,3.1672,1,3,54.37
DB09000,CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C#N,323.465,4.35868,0,4,30.27
DB00553,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,216.192,2.5478,0,4,52.58
DB06261,[H]N([H])CC(=O)CCC(=O)OCCCCCC,215.293,1.4179,1,4,69.39
DB01878,O=C(C1=CC=CC=C1)C1=CC=CC=C1,182.222,2.9176,0,1,17.07
DB00140,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,376.369,-1.72356,5,9,161.56
DB00821,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,273.719,4.1626,2,1,53.09
DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,484.663,4.6668,1,6,55.76
DB00670,CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1,351.41,1.5594,1,5,68.78
DB01116,O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1,365.522,3.6559,0,1,23.55
DB00391,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,341.433,0.5567,2,5,101.73
DB09076,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,428.596,5.14,1,2,29.46
DB01071,C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12,322.477,4.6311,0,3,6.48
DB01409,[H][C@]12O[C@@]1([H])[C@]1([H])C[C@@]([H])(C[C@@]2([H])[N+]1(C)C)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1,392.522,2.3457,1,6,59.06
DB00986,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,318.437,2.4563,1,3,46.53
DB00434,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,287.406,4.6979,0,1,3.24
DB06153,CN1CCC(CC1)=C1C2=C(CCC3=CC=CC=C13)SC=C2,295.451,4.3742,0,2,3.24
DB00366,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,270.376,2.9233,0,3,25.36
DB00517,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C,362.352,0.5198,0,2,26.3
DB00283,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,343.898,5.1044,0,2,12.47
DB00387,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,287.447,3.9404,1,2,23.47
DB00657,CNC1(C)C2CCC(C2)C1(C)C,167.296,2.4206,1,1,12.03
DB01591,O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1,362.473,3.8649,0,3,32.78
DB00782,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,368.497,4.7308,0,3,35.53
DB01090,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,240.435,2.6375,0,0,0
DB11315,C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,318.393,1.0627,1,4,59.06
DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,348.507,3.4841,1,3,46.53
DB00424,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,289.375,1.9309,1,4,49.77
DB00340,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,309.478,5.015,0,2,3.24
DB12278,CCCOC(C(=O)OC1CCN(C)CC1)(C1=CC=CC=C1)C1=CC=CC=C1,367.489,3.9942,0,4,38.77
DB00376,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1,301.474,4.3305,1,2,23.47
DB01339,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,557.84,5.9659,0,5,55.84
DB01338,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CC[N+](C)(C)CC1)N1CC[N+](C)(C)CC1,602.905,3.6335,0,6,59.08
DB01173,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C,269.388,3.66262,0,2,12.47
DB00332,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C,332.464,2.8541,1,3,46.53
DB01337,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1,572.875,6.1105,0,4,52.6
DB00809,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,284.359,2.2062,1,3,53.43
DB01036,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,325.496,5.34142,1,2,23.47
